0,1,2,3,4,5,6,7,8,9,temperature,category
91.0,104.0,79.0,80.0,106.0,97.0,65.0,91.0,82.0,46.09772228646444,19.8,1
91.0,105.0,79.0,80.0,106.0,97.0,65.0,91.0,82.0,46.09772228646444,19.9,1
91.0,105.0,79.0,80.0,106.0,97.0,65.0,91.0,82.0,46.09772228646444,20.0,2
91.0,105.0,79.0,80.0,106.0,97.0,65.0,91.0,82.0,46.09772228646444,20.1,2
91.0,105.0,79.0,80.0,106.0,96.0,65.0,91.0,82.0,46.09772228646444,20.2,2
91.0,105.0,79.0,80.0,106.0,96.0,65.0,92.0,82.0,46.09772228646444,20.3,2
91.0,105.0,79.0,80.0,106.0,96.0,65.0,92.0,81.0,46.09772228646444,20.4,2
91.0,105.0,79.0,80.0,106.0,96.0,65.0,92.0,81.0,47.01063709417264,20.5,2
91.0,105.0,79.0,80.0,106.0,96.0,66.0,92.0,81.0,47.01063709417264,20.6,2
91.0,105.0,79.0,80.0,106.0,96.0,66.0,92.0,81.0,47.01063709417264,20.7,2
91.0,105.0,79.0,80.0,106.0,96.0,66.0,92.0,81.0,47.01063709417264,20.8,2
91.0,105.0,79.0,80.0,106.0,96.0,66.0,92.0,81.0,47.01063709417264,20.9,2
91.0,105.0,79.0,80.0,106.0,96.0,66.0,92.0,81.0,47.01063709417264,21.0,2
91.0,105.0,79.0,80.0,106.0,95.0,66.0,92.0,81.0,47.01063709417264,21.1,2
91.0,105.0,79.0,80.0,106.0,95.0,66.0,92.0,80.0,47.01063709417264,21.2,2
91.0,105.0,79.0,80.0,106.0,95.0,66.0,92.0,80.0,47.01063709417264,21.3,2
92.0,111.0,89.0,77.0,108.0,84.0,75.0,96.0,78.0,19.924858845171276,21.4,2
92.0,111.0,89.0,77.0,108.0,83.0,75.0,96.0,78.0,48.84669896727925,21.5,2
92.0,111.0,89.0,77.0,108.0,83.0,75.0,96.0,78.0,48.84669896727925,21.6,2
92.0,111.0,89.0,77.0,108.0,83.0,75.0,96.0,78.0,48.84669896727925,21.7,2
